Tau,SF,+-
545.275,9.48816e-23,4.61568e-24
547.897,9.49026e-23,4.67394e-24
550.518,1.00148e-22,4.771e-24
553.14,9.64812e-23,4.60111e-24
555.761,9.85962e-23,4.58042e-24
558.383,9.75588e-23,4.59667e-24
561.004,9.62241e-23,4.55121e-24
563.626,9.17514e-23,4.46473e-24
566.247,9.63855e-23,4.86192e-24
568.869,8.9681e-23,4.46122e-24
571.49,8.83126e-23,4.57661e-24
574.112,8.76441e-23,4.68704e-24
576.734,9.13873e-23,4.85448e-24
579.355,8.48712e-23,4.38176e-24
581.977,8.28085e-23,4.52268e-24
584.598,8.38293e-23,4.46068e-24
587.22,8.23824e-23,4.21167e-24
589.841,8.28854e-23,4.65773e-24
592.463,8.43386e-23,4.32459e-24
595.084,8.3913e-23,4.31211e-24
597.706,8.49072e-23,4.52234e-24
600.327,8.77822e-23,4.4572e-24
602.949,8.79208e-23,4.50456e-24
605.57,8.58063e-23,4.51653e-24
608.192,8.89394e-23,4.47172e-24
610.813,9.03654e-23,4.71424e-24
613.435,8.87547e-23,4.11115e-24
616.056,8.84256e-23,4.49919e-24
618.678,8.56083e-23,4.4454e-24
621.299,8.48374e-23,4.09758e-24
623.921,8.48855e-23,4.33709e-24
626.542,8.46487e-23,4.11768e-24
629.164,8.3452e-23,4.01805e-24
631.785,8.07927e-23,4.25518e-24
634.407,7.90478e-23,4.10398e-24
637.028,7.87773e-23,3.93211e-24
639.65,7.4833e-23,3.83898e-24
642.271,7.35482e-23,3.77489e-24
644.893,7.47738e-23,4.22e-24
647.514,6.61283e-23,3.40725e-24
650.136,6.87803e-23,3.64067e-24
652.757,7.37538e-23,3.9341e-24
655.379,7.23749e-23,3.65034e-24
658.001,6.37522e-23,3.68471e-24
660.622,6.53847e-23,3.57461e-24
663.244,7.0823e-23,3.66239e-24
665.865,6.70606e-23,3.76656e-24
668.487,7.42703e-23,3.89221e-24
671.108,7.78791e-23,3.71499e-24
673.73,6.75537e-23,3.72351e-24
676.351,6.9838e-23,3.9165e-24
678.973,8.14268e-23,4.43148e-24
681.594,7.55855e-23,3.75286e-24
684.216,7.33465e-23,3.73469e-24
686.837,8.22642e-23,4.03595e-24
689.459,7.68208e-23,3.69704e-24
692.08,7.51237e-23,3.84314e-24
694.702,8.0636e-23,4.03055e-24
697.323,8.0578e-23,3.96419e-24
699.945,7.89125e-23,4.10044e-24
702.566,7.65685e-23,4.03656e-24
705.188,8.06114e-23,3.9554e-24
707.809,7.70645e-23,4.04317e-24
710.431,7.99659e-23,4.16207e-24
713.052,8.36412e-23,3.84004e-24
715.674,7.95729e-23,4.16498e-24
718.295,7.69126e-23,4.066e-24
720.917,8.35461e-23,3.87592e-24
723.538,8.2297e-23,3.88825e-24
726.16,8.24409e-23,3.90864e-24
728.781,9.016e-23,4.08385e-24
731.403,8.88038e-23,4.2464e-24
734.024,8.45691e-23,4.40226e-24
736.646,9.28777e-23,4.94518e-24
739.268,8.8012e-23,4.02651e-24
741.889,8.15287e-23,4.01166e-24
744.511,8.30577e-23,4.2474e-24
747.132,8.56113e-23,3.8583e-24
749.754,8.0323e-23,4.2994e-24
752.375,8.19035e-23,4.30404e-24
754.997,8.66045e-23,4.04326e-24
757.618,8.13493e-23,4.70097e-24
760.24,7.86012e-23,4.20268e-24
762.861,8.59174e-23,4.17707e-24
765.483,8.23559e-23,4.19491e-24
768.104,8.11544e-23,4.42264e-24
770.726,8.55986e-23,4.19887e-24
773.347,8.50546e-23,4.55273e-24
775.969,8.09597e-23,4.35705e-24
778.59,9.00187e-23,4.54016e-24
781.212,9.22656e-23,4.60436e-24
783.833,9.30996e-23,4.40386e-24
786.455,9.68139e-23,4.43452e-24
789.076,9.88824e-23,4.46278e-24
791.698,1.00283e-22,4.53405e-24
794.319,1.03756e-22,4.86397e-24
796.941,1.0481e-22,4.54145e-24
799.562,1.02971e-22,4.80982e-24
802.184,1.03186e-22,4.76523e-24
804.805,1.02533e-22,4.48512e-24
807.427,9.91402e-23,4.29491e-24
810.048,9.81169e-23,4.42521e-24
812.67,9.69105e-23,4.20997e-24
815.291,1.01228e-22,5.01324e-24
817.913,9.92893e-23,4.67513e-24
820.535,1.03763e-22,4.60428e-24
823.156,1.11163e-22,5.21859e-24
825.778,1.09183e-22,4.86894e-24
828.399,1.1636e-22,4.84899e-24
831.021,1.15423e-22,5.03654e-24
833.642,1.15412e-22,4.66346e-24
836.264,1.182e-22,4.82673e-24
838.885,1.15176e-22,4.54414e-24
841.507,1.1505e-22,4.83669e-24
844.128,1.17981e-22,4.90884e-24
846.75,1.15766e-22,4.76768e-24
849.371,1.15817e-22,4.85645e-24
851.993,1.14019e-22,4.88367e-24
854.614,1.16118e-22,4.78887e-24
857.236,1.18868e-22,4.92213e-24
859.857,1.16542e-22,4.98369e-24
862.479,1.1737e-22,4.99667e-24
865.1,1.13828e-22,5.28338e-24
867.722,1.11476e-22,5.0939e-24
870.343,1.1577e-22,5.66668e-24
872.965,1.13772e-22,5.11472e-24
875.586,1.09479e-22,5.50103e-24
878.208,1.09896e-22,5.90249e-24
880.829,1.06107e-22,5.45603e-24
883.451,1.05035e-22,5.81122e-24
886.072,9.97499e-23,5.86033e-24
888.694,1.06717e-22,5.53483e-24
891.315,1.11596e-22,5.66154e-24
893.937,1.06235e-22,5.73455e-24
896.558,1.12569e-22,5.54999e-24
899.18,1.12414e-22,5.45712e-24
901.802,1.03997e-22,5.30779e-24
904.423,1.08213e-22,5.27087e-24
907.045,1.10268e-22,5.35852e-24
909.666,1.04003e-22,4.93321e-24
912.288,1.05617e-22,5.03809e-24
914.909,1.06904e-22,5.42449e-24
917.531,1.06229e-22,4.83063e-24
920.152,1.05906e-22,5.26162e-24
922.774,1.09285e-22,5.41718e-24
925.395,1.05104e-22,5.16723e-24
928.017,1.06061e-22,5.79883e-24
930.638,1.08425e-22,5.74366e-24
933.26,1.03965e-22,4.98255e-24
935.881,1.03295e-22,5.57932e-24
938.503,1.02886e-22,5.92887e-24
941.124,9.8496e-23,5.55743e-24
943.746,9.32946e-23,5.76141e-24
946.367,1.01027e-22,6.2365e-24
948.989,9.60294e-23,5.10191e-24
951.61,9.86342e-23,5.58493e-24
954.232,9.57162e-23,5.3547e-24
