Tau,SF,+-
773.878,2.069e-21,1.17826e-22
776.843,2.07138e-21,1.2289e-22
779.808,2.09516e-21,1.3109e-22
782.773,2.06364e-21,1.27067e-22
785.738,1.97659e-21,1.23736e-22
788.704,2.15942e-21,1.36203e-22
791.669,2.16292e-21,1.29378e-22
794.634,2.09568e-21,1.19339e-22
797.599,2.20671e-21,1.35484e-22
800.564,2.19389e-21,1.39625e-22
803.529,2.01575e-21,1.20965e-22
806.494,1.84792e-21,1.10882e-22
809.459,1.82747e-21,1.03141e-22
812.424,1.87768e-21,1.01614e-22
815.389,1.9251e-21,1.13181e-22
818.354,1.84506e-21,1.10707e-22
821.319,1.87216e-21,1.21906e-22
824.284,1.94238e-21,1.16117e-22
827.249,2.0097e-21,1.19897e-22
830.214,1.90238e-21,1.21819e-22
833.179,1.81217e-21,1.17239e-22
836.144,1.81115e-21,1.14331e-22
839.109,1.84228e-21,1.18746e-22
842.074,1.85174e-21,1.18932e-22
845.04,1.93727e-21,1.21895e-22
848.005,1.92846e-21,1.14459e-22
850.97,1.92719e-21,1.19679e-22
853.935,1.99298e-21,1.35402e-22
856.9,2.03124e-21,1.31706e-22
859.865,1.99491e-21,1.20843e-22
862.83,1.99935e-21,1.33679e-22
865.795,1.89095e-21,1.21612e-22
868.76,2.08437e-21,1.27249e-22
871.725,2.22706e-21,1.41624e-22
874.69,2.17013e-21,1.53359e-22
877.655,2.28692e-21,1.72409e-22
880.62,2.31318e-21,1.56372e-22
883.585,2.06216e-21,1.26168e-22
886.55,2.01788e-21,1.34097e-22
889.515,2.03292e-21,1.2649e-22
892.48,2.11916e-21,1.30929e-22
895.445,2.04408e-21,1.32924e-22
898.41,1.96819e-21,1.29276e-22
901.375,2.11658e-21,1.31667e-22
904.341,2.12429e-21,1.32066e-22
907.306,2.04101e-21,1.32648e-22
910.271,1.97046e-21,1.28513e-22
913.236,2.04133e-21,1.2201e-22
916.201,2.01977e-21,1.19303e-22
919.166,1.96392e-21,1.23849e-22
922.131,1.91709e-21,1.11206e-22
925.096,1.99579e-21,1.11671e-22
928.061,1.923e-21,1.07633e-22
931.026,1.92055e-21,1.17469e-22
933.991,1.89124e-21,1.00799e-22
936.956,2.03487e-21,1.12579e-22
939.921,2.00991e-21,1.15827e-22
942.886,2.02969e-21,1.17928e-22
945.851,2.06322e-21,1.13082e-22
948.816,2.08674e-21,1.13436e-22
951.781,2.13704e-21,1.20518e-22
954.746,2.16354e-21,1.18977e-22
957.711,2.24722e-21,1.16378e-22
960.676,2.27588e-21,1.22087e-22
963.642,2.21937e-21,1.25132e-22
966.607,2.26285e-21,1.27346e-22
969.572,2.28282e-21,1.20469e-22
972.537,2.31978e-21,1.23014e-22
975.502,2.26851e-21,1.18062e-22
978.467,2.13498e-21,1.10779e-22
981.432,2.17657e-21,1.11e-22
984.397,2.12084e-21,1.20013e-22
987.362,2.13208e-21,1.24212e-22
990.327,2.09454e-21,1.22741e-22
993.292,2.17277e-21,1.28238e-22
996.257,2.18768e-21,1.40897e-22
999.222,2.02153e-21,1.26958e-22
1002.19,2.21539e-21,1.32961e-22
1005.15,2.20648e-21,1.31347e-22
1008.12,2.27489e-21,1.36287e-22
1011.08,2.30382e-21,1.32071e-22
1014.05,2.50964e-21,1.44538e-22
1017.01,2.38637e-21,1.43863e-22
1019.98,2.18904e-21,1.31149e-22
1022.94,2.13427e-21,1.14033e-22
1025.91,2.16613e-21,1.14879e-22
1028.87,2.08812e-21,1.15615e-22
1031.84,2.21644e-21,1.21628e-22
1034.8,2.19049e-21,1.18855e-22
1037.77,2.28814e-21,1.19428e-22
1040.73,2.33319e-21,1.26794e-22
1043.7,2.38011e-21,1.17447e-22
1046.66,2.34184e-21,1.06427e-22
1049.63,2.39321e-21,1.16745e-22
1052.59,2.32752e-21,1.15879e-22
1055.56,2.34239e-21,1.06137e-22
1058.52,2.49071e-21,1.19872e-22
1061.49,2.56693e-21,1.2282e-22
1064.45,2.45741e-21,1.16991e-22
1067.42,2.56301e-21,1.18372e-22
1070.38,2.5756e-21,1.27257e-22
1073.35,2.58581e-21,1.26198e-22
1076.31,2.56914e-21,1.17875e-22
1079.28,2.62778e-21,1.17258e-22
1082.24,2.75802e-21,1.28583e-22
1085.21,2.68299e-21,1.23813e-22
1088.17,2.61004e-21,1.15961e-22
1091.14,2.48059e-21,1.07273e-22
1094.1,2.56935e-21,1.13678e-22
1097.07,2.48548e-21,1.08698e-22
1100.03,2.45568e-21,1.01307e-22
1103,2.485e-21,1.04805e-22
1105.96,2.45974e-21,1.13053e-22
1108.93,2.45544e-21,1.13275e-22
1111.89,2.44044e-21,1.04223e-22
1114.86,2.4349e-21,1.08483e-22
1117.82,2.29492e-21,9.79308e-23
1120.79,2.20041e-21,8.78838e-23
1123.75,2.13514e-21,8.91012e-23
1126.72,1.9987e-21,8.94823e-23
1129.68,1.86776e-21,8.65804e-23
1132.65,1.811e-21,7.95498e-23
1135.61,1.81204e-21,8.25671e-23
1138.58,1.77766e-21,8.72592e-23
1141.54,1.88296e-21,9.09326e-23
1144.51,1.99218e-21,9.58624e-23
1147.47,2.14025e-21,1.07115e-22
1150.44,2.16619e-21,1.1041e-22
1153.4,2.13591e-21,1.04561e-22
1156.37,2.15506e-21,1.07277e-22
1159.33,2.17684e-21,1.17054e-22
1162.3,2.19512e-21,1.27073e-22
1165.27,2.40727e-21,1.14536e-22
1168.23,2.34213e-21,1.07566e-22
1171.2,2.34953e-21,1.20155e-22
1174.16,2.27574e-21,1.35621e-22
1177.13,2.26252e-21,1.26662e-22
1180.09,2.20131e-21,1.31432e-22
1183.06,2.22794e-21,1.49351e-22
1186.02,2.28632e-21,1.57861e-22
1188.99,2.32493e-21,1.65593e-22
1191.95,2.26387e-21,1.61884e-22
1194.92,2.13493e-21,1.51942e-22
1197.88,2.26066e-21,1.62433e-22
1200.85,2.24361e-21,1.54126e-22
1203.81,2.13624e-21,1.51893e-22
1206.78,2.08552e-21,1.37236e-22
1209.74,2.12936e-21,1.42739e-22
1212.71,2.13044e-21,1.32782e-22
1215.67,2.12657e-21,1.49645e-22
1218.64,2.11687e-21,1.43438e-22
1221.6,2.31298e-21,1.52724e-22
1224.57,2.08341e-21,1.43629e-22
1227.53,2.07473e-21,1.39716e-22
1230.5,2.04126e-21,1.29359e-22
1233.46,2.11669e-21,1.33638e-22
1236.43,2.07283e-21,1.4225e-22
1239.39,2.06664e-21,1.41732e-22
1242.36,2.21495e-21,1.4406e-22
1245.32,2.17712e-21,1.45865e-22
1248.29,2.17489e-21,1.47653e-22
1251.25,2.35357e-21,1.55951e-22
1254.22,2.37661e-21,1.43864e-22
1257.18,2.39328e-21,1.5421e-22
1260.15,2.17015e-21,1.54574e-22
1263.11,2.37808e-21,1.68829e-22
1266.08,2.33969e-21,1.59711e-22
1269.04,2.27928e-21,1.77373e-22
1272.01,2.308e-21,1.67095e-22
1274.97,2.31759e-21,1.66063e-22
1277.94,2.37471e-21,1.805e-22
1280.9,2.27165e-21,1.76416e-22
1283.87,2.31615e-21,1.71534e-22
1286.83,2.33198e-21,1.60419e-22
1289.8,2.43967e-21,1.74445e-22
1292.76,2.34416e-21,1.70018e-22
1295.73,2.47833e-21,1.68967e-22
1298.69,2.60671e-21,1.56637e-22
