Tau,SF,+-
954.378,3.77163e-22,2.04858e-23
957.074,3.8797e-22,2.06204e-23
959.77,3.71354e-22,2.12051e-23
962.466,3.69952e-22,2.06459e-23
965.162,3.87827e-22,2.29966e-23
967.858,4.00697e-22,2.42991e-23
970.554,3.64845e-22,2.01203e-23
973.25,3.59102e-22,1.81527e-23
975.946,3.50617e-22,1.88375e-23
978.642,3.49397e-22,1.97267e-23
981.338,3.57833e-22,1.88383e-23
984.034,3.54854e-22,1.97517e-23
986.73,3.55517e-22,1.89182e-23
989.426,3.53415e-22,1.9272e-23
992.122,3.4837e-22,1.97088e-23
994.818,3.85647e-22,2.25442e-23
997.514,3.53922e-22,1.96065e-23
1000.21,3.74247e-22,2.10783e-23
1002.91,3.61251e-22,2.00666e-23
1005.6,3.70954e-22,2.00931e-23
1008.3,3.605e-22,1.91508e-23
1010.99,3.59705e-22,1.9233e-23
1013.69,3.77607e-22,2.07548e-23
1016.39,3.52537e-22,1.98011e-23
1019.08,3.57819e-22,2.04224e-23
1021.78,3.63087e-22,2.04279e-23
1024.47,3.61351e-22,2.03777e-23
1027.17,3.79661e-22,2.00179e-23
1029.87,3.55077e-22,1.8946e-23
1032.56,3.75223e-22,2.14509e-23
1035.26,3.63187e-22,2.04817e-23
1037.95,3.76031e-22,2.08095e-23
1040.65,3.61818e-22,2.11738e-23
1043.35,3.85965e-22,2.20333e-23
1046.04,3.62619e-22,2.06179e-23
1048.74,3.5954e-22,2.06673e-23
1051.43,3.65698e-22,2.10563e-23
1054.13,3.64002e-22,2.03898e-23
1056.83,3.63359e-22,2.10485e-23
1059.52,3.71029e-22,2.08782e-23
1062.22,3.49384e-22,2.01634e-23
1064.91,3.7451e-22,2.12725e-23
1067.61,3.55079e-22,2.06853e-23
1070.31,3.4409e-22,1.91891e-23
1073,3.50086e-22,1.88565e-23
1075.7,3.36919e-22,1.98877e-23
1078.39,3.50014e-22,1.9813e-23
1081.09,3.62437e-22,2.11294e-23
1083.79,3.3989e-22,1.99881e-23
1086.48,3.59014e-22,2.07342e-23
1089.18,3.75067e-22,2.07617e-23
1091.87,3.36232e-22,1.94247e-23
1094.57,3.51277e-22,2.00241e-23
1097.26,3.63097e-22,2.02026e-23
1099.96,3.16724e-22,1.75528e-23
1102.66,3.41752e-22,1.77883e-23
1105.35,3.38605e-22,1.95049e-23
1108.05,3.29893e-22,1.88146e-23
