Tau,SF,+-
638.819,1.67366e-22,8.21726e-24
641.832,1.62315e-22,8.30586e-24
644.845,1.62181e-22,7.54429e-24
647.858,1.62454e-22,8.0004e-24
650.872,1.56714e-22,7.27283e-24
653.885,1.54445e-22,7.93778e-24
656.898,1.55801e-22,7.29805e-24
659.912,1.50712e-22,7.67996e-24
662.925,1.49649e-22,6.94475e-24
665.938,1.30038e-22,6.99971e-24
668.952,1.29899e-22,6.36437e-24
671.965,1.0943e-22,6.11904e-24
674.978,1.17729e-22,5.63564e-24
677.991,1.03534e-22,5.75487e-24
681.005,1.02846e-22,5.29703e-24
684.018,1.01949e-22,5.57255e-24
687.031,1.01066e-22,4.58794e-24
690.045,1.07207e-22,5.40265e-24
693.058,1.11836e-22,4.99116e-24
696.071,1.11647e-22,5.76945e-24
699.084,1.19634e-22,5.50616e-24
702.098,1.11738e-22,5.96853e-24
705.111,1.09731e-22,5.26396e-24
708.124,1.03905e-22,5.21545e-24
711.138,1.08963e-22,5.14705e-24
714.151,9.57687e-23,5.52143e-24
717.164,1.08155e-22,5.13304e-24
720.178,9.60135e-23,5.37592e-24
723.191,1.04745e-22,4.96848e-24
726.204,1.0287e-22,5.5946e-24
729.217,1.10772e-22,5.49371e-24
732.231,1.10163e-22,5.74692e-24
735.244,1.12105e-22,5.40508e-24
738.257,1.10483e-22,5.65961e-24
741.271,1.13664e-22,5.2142e-24
744.284,1.11522e-22,5.58682e-24
747.297,1.20634e-22,5.5175e-24
750.311,1.10094e-22,5.79112e-24
753.324,1.17935e-22,5.45858e-24
756.337,1.15501e-22,5.90346e-24
759.35,1.17824e-22,5.74792e-24
762.364,1.11001e-22,6.15578e-24
765.377,1.27356e-22,6.09698e-24
768.39,1.29212e-22,5.83735e-24
771.404,1.28225e-22,6.46204e-24
774.417,1.2775e-22,6.45826e-24
777.43,1.35172e-22,6.55253e-24
780.443,1.35183e-22,6.55506e-24
783.457,1.4401e-22,6.83618e-24
786.47,1.39386e-22,7.25502e-24
789.483,1.43734e-22,7.07494e-24
792.497,1.41734e-22,7.25571e-24
795.51,1.46015e-22,7.75593e-24
798.523,1.41561e-22,7.27916e-24
801.537,1.3772e-22,7.42221e-24
804.55,1.36673e-22,6.9231e-24
807.563,1.25887e-22,6.9579e-24
810.576,1.36537e-22,7.00891e-24
813.59,1.33913e-22,7.54747e-24
816.603,1.292e-22,6.60732e-24
819.616,1.38859e-22,7.80215e-24
822.63,1.35141e-22,7.01124e-24
825.643,1.52904e-22,8.16382e-24
828.656,1.45558e-22,7.49612e-24
831.669,1.54338e-22,8.31032e-24
834.683,1.47563e-22,7.43135e-24
837.696,1.36702e-22,8.13816e-24
840.709,1.37268e-22,7.64561e-24
843.723,1.25725e-22,7.99916e-24
846.736,1.37092e-22,7.35599e-24
849.749,1.24723e-22,7.41164e-24
852.763,1.36691e-22,7.25543e-24
855.776,1.25112e-22,7.25968e-24
858.789,1.28241e-22,6.77929e-24
861.802,1.23486e-22,7.2581e-24
864.816,1.19156e-22,6.27182e-24
867.829,1.17431e-22,6.84257e-24
870.842,1.14854e-22,6.08483e-24
873.856,1.16308e-22,6.8347e-24
876.869,1.17377e-22,5.95599e-24
879.882,1.09893e-22,6.21472e-24
882.896,1.25288e-22,6.02069e-24
885.909,1.23377e-22,6.83528e-24
888.922,1.31935e-22,6.2243e-24
891.935,1.23895e-22,6.54868e-24
894.949,1.27363e-22,5.95692e-24
897.962,1.26398e-22,6.70752e-24
900.975,1.29556e-22,6.2882e-24
903.989,1.18755e-22,5.98691e-24
907.002,1.22114e-22,5.55346e-24
910.015,1.2297e-22,6.06178e-24
913.028,1.21597e-22,5.59445e-24
916.042,1.23487e-22,6.35652e-24
919.055,1.29043e-22,5.97883e-24
922.068,1.28393e-22,6.71168e-24
925.082,1.29828e-22,6.28572e-24
928.095,1.24113e-22,6.83198e-24
931.108,1.22322e-22,5.60727e-24
934.122,1.17985e-22,6.44944e-24
937.135,1.13868e-22,5.39226e-24
940.148,1.0619e-22,5.70179e-24
943.161,1.0895e-22,5.04405e-24
946.175,1.05718e-22,5.38654e-24
949.188,1.04505e-22,4.79571e-24
952.201,1.03269e-22,5.56853e-24
955.215,9.96512e-23,5.12408e-24
958.228,1.06081e-22,5.6881e-24
961.241,1.08917e-22,5.45409e-24
964.254,1.09422e-22,5.99454e-24
967.268,1.12405e-22,5.4167e-24
970.281,1.0793e-22,6.06284e-24
973.294,1.05531e-22,5.21906e-24
976.308,1.05584e-22,5.8061e-24
979.321,1.05673e-22,5.5431e-24
982.334,1.04613e-22,5.76548e-24
985.348,1.05777e-22,5.48807e-24
988.361,1.02871e-22,5.54361e-24
991.374,1.02826e-22,5.14831e-24
994.387,1.10163e-22,5.30899e-24
997.401,1.14208e-22,4.86842e-24
1000.41,1.17904e-22,5.16038e-24
1003.43,1.16025e-22,5.19641e-24
1006.44,1.13155e-22,5.81483e-24
1009.45,1.08466e-22,4.91867e-24
1012.47,1.01498e-22,5.24293e-24
1015.48,1.05523e-22,5.21428e-24
1018.49,1.09459e-22,6.1807e-24
1021.51,1.098e-22,5.58305e-24
1024.52,1.19455e-22,5.99441e-24
1027.53,1.18628e-22,5.9797e-24
1030.55,1.26514e-22,5.7849e-24
1033.56,1.24742e-22,5.90184e-24
1036.57,1.33024e-22,6.28736e-24
1039.59,1.26068e-22,6.0003e-24
1042.6,1.27768e-22,5.99302e-24
1045.61,1.20342e-22,5.57784e-24
1048.63,1.26168e-22,5.81325e-24
1051.64,1.27718e-22,6.11147e-24
1054.65,1.25198e-22,5.91372e-24
1057.67,1.30069e-22,6.33661e-24
1060.68,1.35593e-22,6.54929e-24
1063.69,1.37451e-22,7.51392e-24
1066.71,1.31231e-22,6.60369e-24
1069.72,1.22132e-22,6.98025e-24
1072.73,1.2997e-22,6.63859e-24
1075.75,1.35373e-22,7.52059e-24
1078.76,1.36881e-22,6.52294e-24
1081.77,1.39728e-22,7.22414e-24
1084.79,1.33432e-22,6.58251e-24
1087.8,1.31627e-22,6.71075e-24
