Tau,SF,+-
1133.22,6.19518e-23,9.9235e-24
1136.49,6.84912e-23,8.86683e-24
1139.76,6.9471e-23,8.40715e-24
1143.02,6.88397e-23,8.70913e-24
1146.29,6.46045e-23,8.40719e-24
1149.55,5.65005e-23,1.16659e-23
1152.82,6.54432e-23,8.72339e-24
1156.09,6.78933e-23,8.14491e-24
1159.35,6.59043e-23,8.46551e-24
1162.62,5.23055e-23,8.88656e-24
1165.88,6.562e-23,9.24537e-24
1169.15,6.80646e-23,9.2912e-24
1172.41,6.82282e-23,1.00639e-23
1175.68,4.73313e-23,9.67925e-24
1178.95,6.6635e-23,9.41148e-24
1182.21,6.7034e-23,1.01082e-23
1185.48,6.60569e-23,1.07425e-23
1188.74,4.67415e-23,1.01304e-23
1192.01,6.11009e-23,1.16646e-23
1195.27,6.15178e-23,1.08243e-23
1198.54,6.23982e-23,1.0532e-23
1201.81,6.56064e-23,1.2718e-23
1205.07,4.10604e-23,7.2605e-24
1208.34,6.48789e-23,1.27072e-23
1211.6,6.24624e-23,1.17302e-23
1214.87,6.45005e-23,1.25055e-23
1218.14,3.67915e-23,6.81555e-24
1221.4,6.65788e-23,1.13343e-23
1224.67,6.53313e-23,1.11742e-23
1227.93,6.58553e-23,1.07884e-23
1231.2,3.7497e-23,6.13193e-24
1234.46,6.85127e-23,9.9644e-24
1237.73,6.52184e-23,9.1593e-24
1241,6.53853e-23,9.44296e-24
1244.26,4.56541e-23,6.74171e-24
1247.53,5.3057e-23,9.00585e-24
1250.79,5.90972e-23,7.43809e-24
1254.06,6.04352e-23,7.73445e-24
1257.32,5.83885e-23,7.88307e-24
1260.59,3.56444e-23,7.39639e-24
1263.86,6.44878e-23,9.12692e-24
1267.12,6.23652e-23,9.42079e-24
1270.39,6.3176e-23,9.69969e-24
1273.65,4.48267e-23,9.26288e-24
1276.92,6.8818e-23,1.01917e-23
1280.18,6.90504e-23,1.07998e-23
1283.45,7.27138e-23,1.0986e-23
1286.72,3.97449e-23,8.82386e-24
1289.98,7.79163e-23,1.18335e-23
1293.25,7.86639e-23,1.254e-23
1296.51,7.77349e-23,1.32544e-23
1299.78,7.61006e-23,1.3367e-23
1303.05,6.04477e-23,1.30843e-23
1306.31,8.11372e-23,1.35444e-23
1309.58,8.10875e-23,1.31704e-23
1312.84,8.12822e-23,1.32554e-23
1316.11,5.4426e-23,1.15469e-23
1319.37,7.77072e-23,1.31658e-23
1322.64,8.07293e-23,1.31115e-23
1325.91,7.73244e-23,1.42382e-23
1329.17,5.73854e-23,1.16785e-23
1332.44,8.6326e-23,1.58937e-23
1335.7,8.93543e-23,1.76065e-23
1338.97,7.99562e-23,1.56974e-23
1342.23,3.71744e-23,8.33829e-24
1345.5,6.14123e-23,1.16642e-23
1348.77,5.79591e-23,9.50524e-24
1352.03,5.34049e-23,8.8464e-24
1355.3,4.52782e-23,7.90188e-24
1358.56,3.07945e-23,5.38468e-24
1361.83,4.56874e-23,7.12144e-24
1365.1,4.05222e-23,6.23098e-24
1368.36,4.03279e-23,5.30844e-24
1371.63,2.85905e-23,3.87869e-24
1374.89,3.57268e-23,4.76115e-24
1378.16,3.92434e-23,5.13403e-24
1381.42,4.07334e-23,4.76396e-24
1384.69,3.46229e-23,4.81962e-24
1387.96,3.6148e-23,4.54323e-24
1391.22,3.72172e-23,4.63195e-24
1394.49,3.55271e-23,4.19696e-24
1397.75,3.53329e-23,3.53189e-24
1401.02,3.9862e-23,4.17254e-24
1404.28,4.3291e-23,4.21703e-24
1407.55,4.24495e-23,4.52256e-24
1410.82,4.24702e-23,4.43047e-24
1414.08,3.41539e-23,4.39954e-24
1417.35,3.44046e-23,4.14402e-24
1420.61,3.3127e-23,4.29442e-24
1423.88,3.16203e-23,3.95046e-24
1427.14,2.53302e-23,3.05093e-24
1430.41,2.98721e-23,4.0602e-24
1433.68,2.36428e-23,3.70233e-24
1436.94,3.35944e-23,4.54405e-24
1440.21,2.837e-23,3.1571e-24
1443.47,4.34123e-23,3.9868e-24
1446.74,3.85327e-23,3.82493e-24
1450.01,4.18506e-23,4.11142e-24
1453.27,3.11955e-23,2.83647e-24
1456.54,3.91116e-23,3.56977e-24
1459.8,4.30632e-23,4.94792e-24
1463.07,4.30959e-23,4.41547e-24
1466.33,4.82394e-23,4.74767e-24
1469.6,5.33619e-23,4.57847e-24
1472.87,5.89768e-23,5.11006e-24
1476.13,5.67612e-23,4.72151e-24
1479.4,5.63503e-23,4.79974e-24
1482.66,4.79471e-23,3.5829e-24
1485.93,5.15411e-23,4.33301e-24
1489.19,4.53364e-23,4.3697e-24
1492.46,3.90694e-23,4.41939e-24
1495.73,3.24972e-23,2.92937e-24
1498.99,3.52228e-23,4.21473e-24
1502.26,3.4291e-23,3.61421e-24
1505.52,3.18783e-23,4.2876e-24
1508.79,3.26095e-23,4.14002e-24
1512.06,2.80419e-23,3.64874e-24
1515.32,3.48339e-23,4.21696e-24
1518.59,4.00637e-23,4.44895e-24
1521.85,4.08493e-23,4.0366e-24
1525.12,3.89539e-23,3.6193e-24
1528.38,4.10317e-23,4.04154e-24
1531.65,4.88804e-23,4.60769e-24
1534.92,5.26144e-23,4.59472e-24
1538.18,5.27993e-23,4.16202e-24
1541.45,6.30164e-23,5.28561e-24
1544.71,6.45698e-23,5.07742e-24
1547.98,7.63971e-23,5.77458e-24
1551.24,7.93167e-23,5.85413e-24
1554.51,7.31413e-23,5.63102e-24
1557.78,7.90553e-23,5.62585e-24
1561.04,7.90127e-23,5.49087e-24
1564.31,8.23955e-23,5.24875e-24
1567.57,6.64687e-23,4.91022e-24
1570.84,7.47286e-23,5.2487e-24
1574.1,5.71034e-23,5.15365e-24
1577.37,5.40495e-23,4.45271e-24
1580.64,5.02403e-23,5.23367e-24
1583.9,3.96718e-23,4.83303e-24
1587.17,4.5283e-23,4.93654e-24
1590.43,4.71188e-23,4.51807e-24
1593.7,4.83403e-23,5.39283e-24
1596.97,4.56985e-23,4.63688e-24
1600.23,5.62417e-23,5.39879e-24
1603.5,6.89878e-23,6.42805e-24
1606.76,7.71231e-23,6.43287e-24
1610.03,8.10704e-23,6.67902e-24
1613.29,8.10909e-23,6.22612e-24
1616.56,9.09679e-23,7.42851e-24
1619.83,7.95195e-23,7.6658e-24
1623.09,7.77618e-23,6.94508e-24
1626.36,6.39611e-23,5.93827e-24
1629.62,5.82335e-23,5.50111e-24
1632.89,4.82935e-23,4.69761e-24
1636.15,4.70792e-23,4.42112e-24
1639.42,3.5991e-23,4.63713e-24
1642.69,2.86654e-23,3.91541e-24
1645.95,3.47074e-23,4.0181e-24
1649.22,2.92483e-23,4.4159e-24
1652.48,2.78066e-23,4.46864e-24
1655.75,2.78297e-23,4.74262e-24
1659.02,3.05504e-23,4.19671e-24
1662.28,3.03067e-23,4.31779e-24
1665.55,3.12474e-23,4.09818e-24
1668.81,3.63247e-23,4.44535e-24
1672.08,3.28565e-23,3.99453e-24
1675.34,3.62105e-23,4.32908e-24
1678.61,3.6137e-23,3.729e-24
1681.88,4.37943e-23,4.73794e-24
1685.14,3.49831e-23,3.72416e-24
1688.41,4.0415e-23,4.00479e-24
1691.67,3.65137e-23,3.64605e-24
1694.94,4.2082e-23,3.77922e-24
1698.2,3.66706e-23,3.84843e-24
1701.47,3.89431e-23,4.50056e-24
1704.74,3.60157e-23,3.71078e-24
1708,3.0162e-23,3.60687e-24
1711.27,3.29348e-23,4.29183e-24
1714.53,4.4982e-23,5.54359e-24
1717.8,5.68976e-23,5.39171e-24
1721.06,5.383e-23,5.38158e-24
1724.33,5.15914e-23,5.64788e-24
1727.6,5.00537e-23,5.58293e-24
1730.86,5.07638e-23,5.8389e-24
1734.13,4.61914e-23,4.12504e-24
1737.39,5.1774e-23,5.13367e-24
1740.66,5.11551e-23,5.0912e-24
1743.93,5.18986e-23,5.37122e-24
1747.19,4.50065e-23,4.41711e-24
1750.46,4.31051e-23,4.41171e-24
1753.72,3.97498e-23,4.7552e-24
1756.99,3.95102e-23,4.82833e-24
1760.25,3.80941e-23,4.75737e-24
1763.52,3.59765e-23,4.80409e-24
1766.79,3.4672e-23,5.04172e-24
