Time,Flux,+-
53736.694699,3.233E-11,8.618E-13
53736.897106,3.377E-11,9.001E-13
53737.089699,3.383E-11,7.53E-13
53737.424699,3.32E-11,1.198E-12
53737.612014,3.146E-11,8.456E-13
53737.745347,3.187E-11,1.071E-12
53738.077292,3.158E-11,9.072E-13
53738.337106,3.149E-11,9.691E-13
53738.608403,3.386E-11,9.386E-13
53738.863495,2.878E-11,8.054E-13
53739.053032,3.211E-11,1.057E-12
53739.371366,2.969E-11,9.908E-13
53739.573588,3.072E-11,9.443E-13
53739.846088,2.995E-11,7.266E-13
53740.044884,3.047E-11,8.986E-13
53740.368403,2.941E-11,1.121E-12
53740.642106,3.222E-11,7.92E-13
53740.827662,3.673E-11,9.905E-13
53741.084329,3.596E-11,1.11E-12
53741.281921,3.628E-11,1.013E-12
53741.533958,3.634E-11,1.056E-12
53741.807199,3.936E-11,8.429E-13
53742.010069,3.809E-11,1.03E-12
53742.321458,4.008E-11,1.568E-12
53742.653773,3.938E-11,9.886E-13
53742.785069,3.666E-11,1.161E-12
53742.98081,3.512E-11,9.433E-13
53743.177951,3.613E-11,1.011E-12
53743.568414,3.293E-11,1.156E-12
53743.720359,3.637E-11,1.248E-12
53743.97397,3.401E-11,9.912E-13
53744.159699,3.471E-11,1.044E-12
53744.428681,3.862E-11,1.018E-12
53744.703403,3.431E-11,1.04E-12
53745.011829,3.878E-11,1.086E-12
53745.261736,3.803E-11,1.13E-12
53745.668125,4.146E-11,1.02E-12
53745.797384,3.822E-11,9.489E-13
53745.932755,3.992E-11,1.014E-12
53746.243773,4.024E-11,1.036E-12
53746.582755,3.787E-11,7.822E-13
53746.779977,3.927E-11,1.216E-12
53747.041829,4E-11,1.127E-12
53747.171921,3.64E-11,1.472E-12
53747.644699,4.394E-11,9.602E-13
53747.829329,4.391E-11,1.272E-12
53748.207766,3.811E-11,9.608E-13
53748.354988,4.208E-11,1.032E-12
53748.548414,3.78E-11,9.38E-13
53748.811377,3.797E-11,9.821E-13
53749.019884,3.858E-11,9.511E-13
53749.256458,3.723E-11,9.328E-13
53749.530069,3.844E-11,9.88E-13
53749.79081,3.685E-11,9.915E-13
53750.11581,3.559E-11,1.025E-12
53750.318125,3.369E-11,8.897E-13
53750.577292,3.324E-11,9.538E-13
53750.842569,3.552E-11,9.028E-13
53751.097755,3.56E-11,1.275E-12
53751.369884,3.177E-11,8.555E-13
53751.558866,3.447E-11,8.837E-13
53751.781088,3.142E-11,1.487E-12
53752.08044,3.071E-11,1.157E-12
53752.334606,3.34E-11,1.02E-12
53752.529514,3.101E-11,1.204E-12
53752.69831,3.125E-11,1.049E-12
53753.094977,2.649E-11,1.702E-12
53753.317847,2.688E-11,9.612E-13
53753.542847,2.904E-11,8.893E-13
53753.856273,2.912E-11,9.964E-13
53754.01044,2.883E-11,1.064E-12
53754.654144,2.563E-11,9.649E-13
53755.283218,2.405E-11,8.158E-13
53755.738403,1.951E-11,1.087E-12
53756.246181,2.112E-11,2.878E-12
53756.530162,2.149E-11,8.752E-13
53756.729329,2.222E-11,7.799E-13
53757.024155,2.207E-11,9.547E-13
53757.248507,1.901E-11,9.689E-13
53757.622674,2.483E-11,1.275E-12
53757.707488,2.262E-11,1.091E-12
53757.903507,2.516E-11,1.144E-12
53758.382118,2.498E-11,1.064E-12
53758.738414,2.453E-11,1.708E-12
53758.93434,2.757E-11,1.113E-12
53759.281563,2.786E-11,1.585E-12
53759.723044,3.665E-11,7.687E-12
53760.105544,3.498E-11,1.427E-12
53760.331007,3.146E-11,2.062E-12
53760.544433,4.092E-11,1.085E-12
53763.388692,3.506E-11,1.412E-12
53765.675451,2.759E-11,9.41E-13
53769.727488,4.215E-11,9.764E-13
53771.703044,4.307E-11,1.19E-12
53773.924618,3.997E-11,1.174E-12
53775.753414,3.34E-11,8.902E-13
53777.53147,3.773E-11,1.496E-12
53779.477581,3.684E-11,9.62E-13
53781.389062,3.521E-11,1.032E-12
53783.553877,3.76E-11,9.007E-13
53785.508507,3.46E-11,9.569E-13
53787.466007,3.366E-11,1.092E-12
53789.443785,4.205E-11,1.023E-12
53791.324063,4.418E-11,1.022E-12
53793.218877,3.985E-11,9.678E-13
53795.386748,3.646E-11,9.174E-13
53797.475914,4.34E-11,1.004E-12
53799.398137,3.759E-11,9.454E-13
53801.420359,3.663E-11,9.035E-13
53803.436933,3.232E-11,9.515E-13
53809.134618,3.051E-11,1.121E-12
53811.382488,2.753E-11,8.47E-13
53813.204155,2.329E-11,1.303E-12
53815.915729,2.11E-11,1.554E-12
