Time,Flux,+-
52002.433414,2.603E-11,8.669E-13
52004.279062,3.191E-11,9.013E-13
52008.373044,2.541E-11,1.111E-12
52010.788044,2.205E-11,1.379E-12
52012.060544,5.813E-12,1.483E-12
52014.573414,1.31E-11,9.111E-13
52016.137951,2.34E-11,1.04E-12
52018.023877,1.607E-11,1.159E-12
52020.079248,1.714E-11,1.005E-12
52022.535359,2.775E-11,1.908E-12
52024.563044,1.421E-11,9.615E-13
52026.084896,1.581E-11,8.642E-13
52030.467488,5.43E-12,7.169E-13
52032.338414,1.57E-11,1.333E-12
52034.2311,7.749E-12,7.896E-13
52036.485174,1.322E-11,8.949E-13
52038.230822,1.141E-11,1.446E-12
52040.540544,1.062E-11,9.025E-13
52042.204803,8.212E-12,1.324E-12
52042.46684,2.084E-11,3.558E-13
52043.454525,2.389E-11,3.94E-13
52044.447859,3.526E-11,8.87E-13
52044.584248,2.24E-11,3.356E-13
52044.787303,1.297E-11,3.123E-13
52044.970822,1.37E-11,6.469E-13
52045.037303,2.037E-11,7.162E-13
52045.106748,1.816E-11,1.399E-12
52045.175451,1.225E-11,9.883E-13
52045.383877,3.28E-11,3.863E-13
52045.579711,4.335E-11,7.701E-13
52045.650729,3.294E-11,8.182E-13
52045.70897,2.904E-11,7.993E-13
52045.85684,2.685E-11,3.581E-13
52046.578322,2.721E-11,7.809E-13
52046.700081,3.441E-11,5.674E-13
52046.807766,1.452E-11,3.832E-13
52046.905914,1.452E-11,8.358E-13
52046.957118,2.798E-11,8.387E-13
52047.024063,2.009E-11,8.686E-13
52047.091192,2.086E-11,1.001E-12
52047.16647,2.176E-11,8.327E-13
52047.3636,1.825E-11,2.416E-13
52047.669155,1.439E-11,3.674E-13
52048.159433,1.999E-11,9.778E-13
52048.432396,1.804E-11,4.059E-13
52048.721748,1.779E-11,2.483E-13
52048.885081,1.121E-11,8.393E-13
52049.213507,1.221E-11,5.41E-13
52049.493229,2.326E-11,6.468E-13
52050.202766,8.922E-12,9.062E-13
52050.344896,7.42E-12,2.37E-13
52050.58147,7.559E-12,3.218E-13
52051.406007,2.625E-11,7.475E-13
52052.064248,3.789E-11,1.303E-12
52052.984896,1.64E-11,6.608E-13
52053.332396,1.206E-11,5.676E-13
52053.405914,1.15E-11,8.043E-13
52054.668322,2.365E-11,1.153E-12
52056.524618,1.416E-11,8.824E-13
52058.780544,2.245E-11,1.202E-12
52060.704988,2.356E-11,1.038E-12
52062.212488,9.409E-12,6.53E-13
52064.05934,2.464E-11,1.151E-12
52066.17897,1.041E-11,8.952E-13
52068.57647,1.794E-11,1.074E-12
52070.979063,2.622E-11,3.704E-12
52072.965174,1.039E-11,3.302E-12
52074.882859,4.003E-11,1.877E-12
52076.332396,1.965E-11,1.408E-12
52078.526285,2.011E-11,8.653E-13
52080.155914,1.151E-11,8.714E-13
52082.077211,1.959E-11,9.145E-13
52084.1361,2.273E-11,1.172E-12
52086.250174,1.506E-11,9.571E-13
52088.304896,3.293E-11,1.28E-12
52090.428322,2.898E-11,2.237E-12
52092.084525,1.908E-11,1.223E-12
52098.111563,1.191E-11,8.262E-13
52100.362118,2.941E-11,1.325E-12
52102.348044,4.233E-11,2.335E-12
52104.872303,2.665E-11,1.098E-12
52106.145266,3.459E-11,1.118E-12
52108.913785,4.002E-11,1.283E-12
52110.624433,2.539E-11,8.53E-13
52113.22184,3.145E-11,8.298E-13
52114.666007,2.514E-11,1.16E-12
52116.125544,2.759E-11,1.056E-12
52117.784525,3.527E-11,1.226E-12
52120.24897,4.554E-11,1.317E-12
52122.103044,2.98E-11,1.267E-12
52124.089896,4.869E-11,1.606E-12
52126.996748,1.331E-11,8.352E-13
52128.188229,1.232E-11,2.874E-12
52129.911192,2.245E-11,9.705E-13
52133.121007,1.516E-11,9.055E-13
52134.218414,1.359E-11,1.338E-12
52136.412581,1.536E-11,2.333E-12
52138.329618,3.376E-11,1.791E-12
52140.315729,4.067E-11,2.206E-12
52142.626285,2.191E-11,1.109E-12
52144.966655,3.081E-11,1.404E-12
52146.273414,1.146E-11,1.241E-12
52148.260266,1.355E-11,1.609E-12
52150.78897,2.223E-11,1.602E-12
52152.163877,1.067E-11,8.744E-13
52154.149803,1.437E-11,1.402E-12
52156.740451,1.772E-11,7.88E-13
52157.934525,2.258E-11,9.225E-13
52160.835081,2.404E-11,1.136E-12
52161.980359,1.767E-11,6.904E-13
52163.690729,2.452E-11,9.624E-13
52166.668137,2.738E-11,8.572E-13
52168.625174,8.389E-12,1.148E-12
52170.679896,1.447E-11,2.131E-12
52172.69897,2.816E-11,1.09E-12
