Time,Flux,+-
51554.300637,1.46E-10,1.029E-12
51554.368877,1.459E-10,1.226E-12
51554.520729,1.411E-10,4.214E-13
51554.614803,1.415E-10,8.634E-13
51556.696655,1.125E-10,9.769E-13
51556.752025,1.161E-10,7.714E-13
51556.885729,1.134E-10,5.742E-13
51557.741192,1.073E-10,3.363E-13
51559.753229,1.584E-10,2.954E-13
51563.72897,1.439E-10,2.686E-13
51565.595266,1.435E-10,6.425E-13
51565.856285,1.451E-10,8.4E-13
51569.658507,1.225E-10,3.197E-13
51570.521655,1.215E-10,9.219E-13
51597.569155,1.446E-10,5.011E-13
51597.794896,1.449E-10,5.1E-13
51598.385451,1.405E-10,9.299E-13
51598.505081,1.444E-10,3.771E-13
51599.7586,1.308E-10,4.716E-13
51600.460451,1.272E-10,5.658E-13
51600.621007,1.28E-10,3.054E-13
51600.792488,1.299E-10,7.86E-13
51602.649618,1.216E-10,2.692E-13
51603.400081,1.163E-10,3.389E-13
51709.164618,9.707E-11,7.23E-13
51709.267674,9.566E-11,6.403E-13
51709.429525,9.727E-11,8.533E-13
51709.491377,9.884E-11,1.14E-12
51970.869433,6.275E-11,7.18E-13
51973.921285,6.645E-11,7.947E-13
51976.561285,7.318E-11,7.593E-13
51978.547674,7.889E-11,8.84E-13
51980.606562,8.812E-11,6.785E-13
51982.660822,9.093E-11,9.62E-13
51984.649803,7.776E-11,8.722E-13
51987.700081,7.526E-11,1.077E-12
51990.617303,6.914E-11,8.612E-13
51993.733877,7.223E-11,8.805E-13
51995.540359,7.136E-11,8.128E-13
51995.612396,6.981E-11,1.002E-12
51997.251007,7.9E-11,1.124E-12
51997.318785,7.622E-11,1.031E-12
51998.451562,7.457E-11,8.039E-13
52001.292303,7.747E-11,7.841E-13
52003.494155,9.278E-11,9.055E-13
52006.475637,8.548E-11,1.05E-12
52008.393322,9.501E-11,9.163E-13
52011.455451,7.942E-11,1.278E-12
52012.1611,8.63E-11,1.082E-12
52015.1436,9.34E-11,1.286E-12
52015.212674,9.196E-11,1.282E-12
