Time,Flux,+-
51888.783044,2.265E-11,1.577E-12
51893.084433,1.454E-11,8.02E-13
51897.396933,1.243E-11,7.44E-13
51901.6511,1.551E-11,7.666E-13
51905.7636,2.094E-11,8.605E-13
51910.140637,1.938E-11,9.938E-13
51914.382766,1.533E-11,7.483E-13
51918.693137,1.772E-11,7.649E-13
51922.687766,1.721E-11,1.202E-12
51927.053692,1.713E-11,7.578E-13
51931.648507,1.591E-11,6.962E-13
51935.694618,1.26E-11,1.253E-12
51944.365637,1.266E-11,8.368E-13
51948.561192,1.855E-11,1.305E-12
51952.782211,1.679E-11,8.428E-13
51957.112581,1.871E-11,8.07E-13
51961.30147,1.594E-11,5.922E-13
51965.586285,1.197E-11,8.936E-13
51969.901655,1.621E-11,8.006E-13
51974.141285,1.822E-11,8.614E-13
51978.402951,2.13E-11,9.327E-13
51982.758507,2.052E-11,8.056E-13
51986.877951,1.974E-11,8.234E-13
51991.183229,1.906E-11,9.05E-13
51995.446933,1.93E-11,9.761E-13
51999.690266,1.554E-11,1.02E-12
52004.111748,1.764E-11,9.647E-13
52008.112581,1.742E-11,6.265E-13
52012.496192,1.698E-11,8.786E-13
52016.84934,1.719E-11,6.759E-13
52021.035822,1.428E-11,7.539E-13
52025.322488,8.961E-12,6.803E-13
52029.461007,1.121E-11,9.278E-13
52033.887674,7.558E-12,7.845E-13
52038.337211,1.102E-11,7.865E-13
52042.312025,1.527E-11,9.897E-13
52046.61434,1.53E-11,8.536E-13
52050.925544,1.747E-11,1.041E-12
52055.223785,1.592E-11,1.383E-12
52059.469525,1.703E-11,8.207E-13
52063.709803,1.88E-11,8.223E-13
52068.09434,2.13E-11,7.906E-13
52072.247674,2.364E-11,9.371E-13
52076.484062,2.213E-11,9.292E-13
52080.738785,2.305E-11,9.636E-13
52085.18434,1.988E-11,1.289E-12
52089.087581,2.276E-11,1.469E-12
52093.583692,2.287E-11,9.368E-13
52097.888044,2.099E-11,1.553E-12
52102.137951,2.342E-11,4.09E-12
52106.447488,2.301E-11,8.8E-13
52110.759988,2.612E-11,9.664E-13
52114.842859,1.813E-11,1.393E-12
52119.225266,2.548E-11,9.42E-13
52123.463322,2.821E-11,8.315E-13
52127.64684,2.458E-11,9.471E-13
52132.025266,2.229E-11,1.02E-12
52136.204248,2.878E-11,1.441E-12
52144.86397,2.55E-11,1.404E-12
52145.004988,2.568E-11,1.368E-12
52145.141933,2.784E-11,1.433E-12
52145.384896,2.453E-11,1.102E-12
52145.532951,2.32E-11,9.741E-13
52145.662025,2.507E-11,8.329E-13
52145.779896,2.516E-11,9.978E-13
52145.927025,2.173E-11,8.991E-13
52146.065822,2.561E-11,1.549E-12
52146.2036,2.249E-11,2.577E-12
52146.519618,2.487E-11,7.956E-13
52146.729988,2.647E-11,1.069E-12
52146.852581,2.677E-11,8.9E-13
52146.989248,2.865E-11,1.219E-12
52147.128137,2.764E-11,1.653E-12
52147.19684,2.793E-11,1.673E-12
52147.521748,2.838E-11,9.614E-13
52147.65434,2.765E-11,9.036E-13
52147.777118,2.777E-11,8.964E-13
52147.913137,2.708E-11,1.135E-12
52148.05147,2.766E-11,1.637E-12
52148.189896,2.704E-11,1.791E-12
52148.451562,2.583E-11,1.177E-12
52148.583507,2.617E-11,8.839E-13
52148.716562,2.54E-11,9.403E-13
52148.8386,2.367E-11,7.801E-13
52148.97684,2.536E-11,1.181E-12
52149.113877,2.629E-11,1.433E-12
52149.377488,2.554E-11,8.491E-13
52149.511007,2.503E-11,1.208E-12
52149.643692,2.368E-11,1.11E-12
52149.759248,2.173E-11,1.232E-12
52149.899155,2.212E-11,1.04E-12
52150.037766,2.308E-11,1.646E-12
52150.1761,2.106E-11,1.493E-12
52150.437118,2.235E-11,1.004E-12
52150.502303,2.23E-11,8.886E-13
52150.679155,2.143E-11,6.558E-13
52150.822581,2.201E-11,1.306E-12
52150.967859,2.182E-11,9.954E-13
52151.10147,2.232E-11,1.485E-12
52151.365266,1.928E-11,1.052E-12
52151.497766,2.002E-11,1.168E-12
52151.600544,1.877E-11,7.205E-13
52151.745729,1.964E-11,1.043E-12
52151.828877,2.068E-11,1.018E-12
52152.022674,1.934E-11,1.771E-12
52152.12684,1.888E-11,9.147E-13
52152.392025,2.187E-11,8.067E-13
52152.547303,2.407E-11,1.083E-12
52152.667951,2.585E-11,2.029E-12
52152.808322,2.47E-11,1.473E-12
52152.947211,2.624E-11,1.976E-12
52153.087766,2.433E-11,1.118E-12
52153.337118,2.557E-11,9.113E-13
52153.479155,2.563E-11,8.687E-13
52153.618507,2.281E-11,1.768E-12
